Open,High,Low,Close,Volume,Dividends,Stock Splits,Date,name,Returns
887.35,888.4,870.0,874.05,2205087,0.0,0.0,2023-03-17,Cipla,-9.4
874.05,876.9,861.8,866.7,997827,0.0,0.0,2023-03-20,Cipla,-7.35
866.8,872.4,860.6,862.35,888443,0.0,0.0,2023-03-21,Cipla,-4.35
864.0,866.0,852.0,863.4,1622488,0.0,0.0,2023-03-22,Cipla,1.05
868.0,870.9,861.25,869.1,1865868,0.0,0.0,2023-03-23,Cipla,5.7
869.1,879.0,866.15,877.25,3166046,0.0,0.0,2023-03-24,Cipla,8.15
881.05,891.35,876.05,889.3,3986238,0.0,0.0,2023-03-27,Cipla,12.05
891.8,894.25,886.4,889.5,3623017,0.0,0.0,2023-03-28,Cipla,0.2
893.95,896.6,885.35,887.7,3049688,0.0,0.0,2023-03-29,Cipla,-1.8
888.8,902.7,886.7,900.5,2320879,0.0,0.0,2023-03-31,Cipla,12.8
910.0,910.0,887.05,891.45,2623264,0.0,0.0,2023-04-03,Cipla,-9.05
889.0,897.35,886.3,895.75,1612376,0.0,0.0,2023-04-05,Cipla,4.3
899.0,899.75,889.0,893.35,1512783,0.0,0.0,2023-04-06,Cipla,-2.4
896.95,904.5,894.2,901.85,919722,0.0,0.0,2023-04-10,Cipla,8.5
905.0,908.15,902.0,907.15,1778775,0.0,0.0,2023-04-11,Cipla,5.3
909.0,920.9,908.2,917.95,3449942,0.0,0.0,2023-04-12,Cipla,10.8
921.9,923.05,912.3,915.75,1068355,0.0,0.0,2023-04-13,Cipla,-2.2
915.0,917.45,901.1,906.45,2604979,0.0,0.0,2023-04-17,Cipla,-9.3
905.0,925.5,897.0,924.25,1949777,0.0,0.0,2023-04-18,Cipla,17.8
925.95,925.95,909.0,911.9,1538261,0.0,0.0,2023-04-19,Cipla,-12.35
912.0,913.7,898.95,904.0,4446158,0.0,0.0,2023-04-20,Cipla,-7.9
903.0,918.55,903.0,915.05,3481218,0.0,0.0,2023-04-21,Cipla,11.05
916.0,917.2,901.15,903.0,1784945,0.0,0.0,2023-04-24,Cipla,-12.05
904.6,912.0,896.3,909.65,2440358,0.0,0.0,2023-04-25,Cipla,6.65
911.85,914.2,900.05,911.1,1400796,0.0,0.0,2023-04-26,Cipla,1.45
911.2,917.3,903.0,913.95,2457652,0.0,0.0,2023-04-27,Cipla,2.85
918.85,919.0,905.15,908.05,2695819,0.0,0.0,2023-04-28,Cipla,-5.9
910.4,921.0,906.1,917.7,1857324,0.0,0.0,2023-05-02,Cipla,9.65
920.95,924.5,917.0,920.65,2566561,0.0,0.0,2023-05-03,Cipla,2.95
920.65,935.4,920.65,933.5,3393228,0.0,0.0,2023-05-04,Cipla,12.85
935.0,935.2,920.85,924.8,2262141,0.0,0.0,2023-05-05,Cipla,-8.7
927.2,934.9,919.65,933.3,3877794,0.0,0.0,2023-05-08,Cipla,8.5
935.0,943.0,929.1,939.2,2657968,0.0,0.0,2023-05-09,Cipla,5.9
943.5,946.7,933.2,944.4,1618668,0.0,0.0,2023-05-10,Cipla,5.2
946.45,947.0,935.0,943.6,1537103,0.0,0.0,2023-05-11,Cipla,-0.8
948.85,953.0,913.0,937.45,3850078,0.0,0.0,2023-05-12,Cipla,-6.15
940.0,940.0,896.85,922.8,5487301,0.0,0.0,2023-05-15,Cipla,-14.65
927.4,942.65,918.4,922.1,2964696,0.0,0.0,2023-05-16,Cipla,-0.7
924.95,932.0,917.0,923.95,1866976,0.0,0.0,2023-05-17,Cipla,1.85
929.0,929.65,911.55,914.5,1881606,0.0,0.0,2023-05-18,Cipla,-9.45
917.0,922.0,913.0,916.25,1168086,0.0,0.0,2023-05-19,Cipla,1.75
916.25,931.05,915.45,924.95,1402783,0.0,0.0,2023-05-22,Cipla,8.7
926.4,932.3,919.5,930.4,1577827,0.0,0.0,2023-05-23,Cipla,5.45
923.5,939.9,923.5,938.0,1034319,0.0,0.0,2023-05-24,Cipla,7.6
941.45,947.0,935.0,945.45,2178211,0.0,0.0,2023-05-25,Cipla,7.45
945.9,952.75,940.5,951.35,1130476,0.0,0.0,2023-05-26,Cipla,5.9
952.0,959.2,945.1,956.25,1744868,0.0,0.0,2023-05-29,Cipla,4.9
957.6,961.5,951.0,959.85,1337311,0.0,0.0,2023-05-30,Cipla,3.6
960.2,965.0,942.3,953.05,3561991,0.0,0.0,2023-05-31,Cipla,-6.8
950.0,966.5,946.75,964.75,1132919,0.0,0.0,2023-06-01,Cipla,11.7
965.9,969.65,954.65,965.85,1098485,0.0,0.0,2023-06-02,Cipla,1.1
970.0,976.9,959.15,974.8,1469770,0.0,0.0,2023-06-05,Cipla,8.95
972.9,974.95,964.05,972.05,2079735,0.0,0.0,2023-06-06,Cipla,-2.75
972.95,977.9,958.5,960.45,1614117,0.0,0.0,2023-06-07,Cipla,-11.6
964.9,969.85,963.0,965.4,1481632,0.0,0.0,2023-06-08,Cipla,4.95
966.0,971.0,959.15,969.25,717024,0.0,0.0,2023-06-09,Cipla,3.85
973.25,973.25,955.15,959.95,1239721,0.0,0.0,2023-06-12,Cipla,-9.3
963.0,983.85,957.0,981.5,2158120,0.0,0.0,2023-06-13,Cipla,21.55
981.5,981.9,972.6,978.7,1831109,0.0,0.0,2023-06-14,Cipla,-2.8
981.95,1000.0,980.6,998.2,1804458,0.0,0.0,2023-06-15,Cipla,19.5
1000.0,1007.15,993.75,1006.05,1572197,0.0,0.0,2023-06-16,Cipla,7.85
1006.25,1017.55,999.2,1011.25,1015057,0.0,0.0,2023-06-19,Cipla,5.2
1013.85,1018.8,1002.6,1011.15,1413571,0.0,0.0,2023-06-20,Cipla,-0.1
85.49,87.41,83.9,86.99,14231107,0.0,0.0,2022-06-21,GAIL,0.0
85.81,86.07,83.16,85.24,19244923,0.0,0.0,2022-06-22,GAIL,-1.75
84.85,86.93,83.58,84.02,20161450,0.0,0.0,2022-06-23,GAIL,-1.22
85.49,85.49,83.42,84.5,12164283,0.0,0.0,2022-06-24,GAIL,0.48
85.49,86.19,84.38,85.91,10260453,0.0,0.0,2022-06-27,GAIL,1.41
85.43,87.53,85.33,87.34,9907093,0.0,0.0,2022-06-28,GAIL,1.43
86.58,89.29,86.45,88.84,14882062,0.0,0.0,2022-06-29,GAIL,1.5
88.62,89.57,85.97,86.26,14776534,0.0,0.0,2022-06-30,GAIL,-2.58
85.56,87.02,83.58,84.44,15116436,0.0,0.0,2022-07-01,GAIL,-1.82
83.58,85.72,83.55,85.2,6503989,0.0,0.0,2022-07-04,GAIL,0.76
85.4,86.7,85.05,85.36,6013528,0.0,0.0,2022-07-05,GAIL,0.16
85.17,85.62,82.65,85.2,12987415,0.0,0.0,2022-07-06,GAIL,-0.16
85.62,87.37,85.62,87.28,7963336,0.0,0.0,2022-07-07,GAIL,2.08
90.21,90.21,86.8,87.57,10036582,0.0,0.0,2022-07-08,GAIL,0.29
87.57,89.0,86.86,88.43,13317447,0.0,0.0,2022-07-11,GAIL,0.86
